device,2DUE6002,2DUE8000,2SCE6010,DUE5000,DUE6001,DUE6002,DUE6100,DUE8000,SCE6010
2DUE6002,0.000000,0.040685,0.102207,0.279708,0.094101,0.012940,0.278052,0.041933,0.098023
2DUE8000,0.040685,0.000000,0.077252,0.284057,0.062208,0.029286,0.281778,0.003525,0.070182
2SCE6010,0.102207,0.077252,0.000000,0.263868,0.044897,0.079286,0.261508,0.071376,0.004275
DUE5000,0.279708,0.284057,0.263868,0.000000,0.259704,0.266335,0.001288,0.275207,0.263220
DUE6001,0.094101,0.062208,0.044897,0.259704,0.000000,0.067646,0.258225,0.054571,0.038849
DUE6002,0.012940,0.029286,0.079286,0.266335,0.067646,0.000000,0.264620,0.027382,0.074430
DUE6100,0.278052,0.281778,0.261508,0.001288,0.258225,0.264620,0.000000,0.272873,0.260682
DUE8000,0.041933,0.003525,0.071376,0.275207,0.054571,0.027382,0.272873,0.000000,0.064568
SCE6010,0.098023,0.070182,0.004275,0.263220,0.038849,0.074430,0.260682,0.064568,0.000000
