device,2DUE6002,2DUE8000,2SCE6010,DUE5000,DUE6001,DUE6002,DUE6100,DUE8000,SCE6010
2DUE6002,0.000000,0.175036,0.283308,0.474086,0.270588,0.097744,0.472811,0.178046,0.276765
2DUE8000,0.175036,0.000000,0.243623,0.478674,0.217537,0.147813,0.476685,0.050502,0.231345
2SCE6010,0.283308,0.243623,0.000000,0.459615,0.182358,0.247532,0.457454,0.233722,0.055739
DUE5000,0.474086,0.478674,0.459615,0.000000,0.455811,0.461629,0.030512,0.471133,0.459306
DUE6001,0.270588,0.217537,0.182358,0.455811,0.000000,0.227646,0.454283,0.203093,0.169388
DUE6002,0.097744,0.147813,0.247532,0.461629,0.227646,0.000000,0.460159,0.143205,0.239027
DUE6100,0.472811,0.476685,0.457454,0.030512,0.454283,0.460159,0.000000,0.469050,0.456904
DUE8000,0.178046,0.050502,0.233722,0.471133,0.203093,0.143205,0.469050,0.000000,0.221497
SCE6010,0.276765,0.231345,0.055739,0.459306,0.169388,0.239027,0.456904,0.221497,0.000000
