device,2DUE6002,2DUE8000,2SCE6010,DUE5000,DUE6001,DUE6002,DUE6100,DUE8000,SCE6010
2DUE6002,1.000000,0.999251,0.989946,0.910414,0.988379,0.999750,0.910544,0.999428,0.991359
2DUE8000,0.999251,1.000000,0.991380,0.909025,0.990675,0.999126,0.909177,0.999683,0.992503
2SCE6010,0.989946,0.991380,1.000000,0.866454,0.996345,0.988503,0.866825,0.989768,0.999750
DUE5000,0.910414,0.909025,0.866454,1.000000,0.873288,0.913706,0.999969,0.911626,0.869933
DUE6001,0.988379,0.990675,0.996345,0.873288,1.000000,0.987229,0.873629,0.988532,0.995684
DUE6002,0.999750,0.999126,0.988503,0.913706,0.987229,1.000000,0.913816,0.999614,0.989940
DUE6100,0.910544,0.909177,0.866825,0.999969,0.873629,0.913816,1.000000,0.911762,0.870279
DUE8000,0.999428,0.999683,0.989768,0.911626,0.988532,0.999614,0.911762,1.000000,0.991061
SCE6010,0.991359,0.992503,0.999750,0.869933,0.995684,0.989940,0.870279,0.991061,1.000000
