device,2DUE6002,2DUE8000,2SCE6010,DUE5000,DUE6001,DUE6002,DUE6100,DUE8000,SCE6010
2DUE6002,0.000000,0.008191,0.047090,0.247220,0.033015,0.002057,0.245603,0.007931,0.045614
2DUE8000,0.008191,0.000000,0.043049,0.252401,0.030397,0.005365,0.250956,0.000935,0.041320
2SCE6010,0.047090,0.043049,0.000000,0.268803,0.018384,0.045269,0.267165,0.042556,0.001542
DUE5000,0.247220,0.252401,0.268803,0.000000,0.264255,0.246052,0.000958,0.248577,0.270805
DUE6001,0.033015,0.030397,0.018384,0.264255,0.000000,0.031053,0.262779,0.029446,0.018709
DUE6002,0.002057,0.005365,0.045269,0.246052,0.031053,0.000000,0.244603,0.004333,0.043822
DUE6100,0.245603,0.250956,0.267165,0.000958,0.262779,0.244603,0.000000,0.247215,0.268825
DUE8000,0.007931,0.000935,0.042556,0.248577,0.029446,0.004333,0.247215,0.000000,0.041034
SCE6010,0.045614,0.041320,0.001542,0.270805,0.018709,0.043822,0.268825,0.041034,0.000000
