device,2DUE6002,2DUE8000,2SCE6010,DUE5000,DUE6001,DUE6002,DUE6100,DUE8000,SCE6010
2DUE6002,0.000000,0.077110,0.186776,0.445100,0.155800,0.038590,0.443705,0.075920,0.183693
2DUE8000,0.077110,0.000000,0.178343,0.450418,0.149378,0.062384,0.449241,0.025995,0.174644
2SCE6010,0.186776,0.178343,0.000000,0.464409,0.115967,0.182990,0.463084,0.177345,0.033442
DUE5000,0.445100,0.450418,0.464409,0.000000,0.459755,0.443965,0.026434,0.447006,0.466431
DUE6001,0.155800,0.149378,0.115967,0.459755,0.000000,0.151026,0.458594,0.147063,0.117067
DUE6002,0.038590,0.062384,0.182990,0.443965,0.151026,0.000000,0.442768,0.056084,0.179940
DUE6100,0.443705,0.449241,0.463084,0.026434,0.458594,0.442768,0.000000,0.445922,0.464809
DUE8000,0.075920,0.025995,0.177345,0.447006,0.147063,0.056084,0.445922,0.000000,0.174086
SCE6010,0.183693,0.174644,0.033442,0.466431,0.117067,0.179940,0.464809,0.174086,0.000000
