device,alu,branch,branch_cond,branch_reg,ldm_stm,load_store,pop,push,return
2DUE6002,0.565176,0.032307,0.076362,0.003735,0.058994,0.254904,0.002611,0.005910,0.000000
2DUE8000,0.582017,0.028432,0.072614,0.002363,0.058815,0.248758,0.002997,0.003983,0.000020
2SCE6010,0.547433,0.035581,0.061604,0.002413,0.072628,0.275656,0.002886,0.001798,0.000000
DUE5000,0.711069,0.019676,0.015100,0.000423,0.060189,0.188905,0.002061,0.002483,0.000095
DUE6001,0.538575,0.039290,0.072524,0.003331,0.069915,0.271985,0.001955,0.002405,0.000020
DUE6002,0.572276,0.031860,0.074898,0.003364,0.057307,0.253149,0.002528,0.004617,0.000000
DUE6100,0.715561,0.019482,0.014550,0.000929,0.056827,0.188150,0.001943,0.002458,0.000101
DUE8000,0.576663,0.031092,0.071805,0.002540,0.059035,0.251195,0.003810,0.003850,0.000010
SCE6010,0.549635,0.036170,0.062963,0.002426,0.074902,0.269816,0.002290,0.001799,0.000000
