device,alu,branch,branch_cond,branch_reg,ldm_stm,load_store,pop,push,return
2DUE6002,0.573876,0.029869,0.078933,0.003873,0.057543,0.247256,0.003400,0.005251,0.000000
2DUE8000,0.586413,0.027780,0.072528,0.002652,0.058180,0.246518,0.002792,0.003137,0.000000
2SCE6010,0.551812,0.033079,0.063420,0.002595,0.073330,0.270668,0.003020,0.002076,0.000000
DUE5000,0.706952,0.041450,0.067875,0.000198,0.008435,0.116639,0.026623,0.026952,0.004876
DUE6001,0.535858,0.038617,0.070922,0.003406,0.070888,0.275704,0.002385,0.002220,0.000000
DUE6002,0.577493,0.033139,0.075127,0.003329,0.057254,0.246452,0.003066,0.004140,0.000000
DUE6100,0.708043,0.042929,0.069033,0.000000,0.012436,0.116929,0.023370,0.023409,0.003850
DUE8000,0.577766,0.030713,0.072164,0.002660,0.058892,0.250339,0.004069,0.003398,0.000000
SCE6010,0.551792,0.033085,0.063337,0.002315,0.076190,0.268898,0.002587,0.001797,0.000000
