device,kept_frac,total_halfwords_counted,pop_pc_per_1k,bx_lr_per_1k,mov_pc_lr_per_1k,push_lr_per_1k
2DUE6002,0.1283851554663992,7558,0.793860809738026,0.0,0.0,1.7200317544323895
2DUE8000,0.14493852075409672,29015,4.066861967947613,0.03446493193175944,0.0,0.7237635705669482
2SCE6010,0.2678291442960992,10288,1.5552099533437014,0.0,0.0,0.8748055987558321
DUE5000,0.5361138480119505,62215,0.88403118219079,0.12858635377320582,0.0,0.9804709475206944
DUE6001,0.13300871604091244,36386,0.6321112515802781,0.0549661957895894,0.0,0.9344253284230198
DUE6002,0.1458970641233018,16008,0.49975012493753124,0.0,0.0,1.249375312343828
DUE6100,0.5824396290889517,131824,0.8723752882631387,0.13654569729336086,0.0,1.175810171137274
DUE8000,0.13410979968884143,54170,5.759645560273214,0.018460402436773122,0.0,0.7384160974709248
SCE6010,0.2718980905954493,17720,1.0158013544018059,0.0,0.0,0.6207674943566591
